Instance; Colors; Time (sec)
/home/pazamelin/github/HSE/ORA/ww1/build/../inputs/le450_15b.col; 22; 0.000244
/home/pazamelin/github/HSE/ORA/ww1/build/../inputs/le450_5a.col; 13; 0.000126
/home/pazamelin/github/HSE/ORA/ww1/build/../inputs/anna.col; 11; 1.1e-05
/home/pazamelin/github/HSE/ORA/ww1/build/../inputs/myciel7.col; 8; 2.7e-05
/home/pazamelin/github/HSE/ORA/ww1/build/../inputs/school1.col; 38; 0.000701
/home/pazamelin/github/HSE/ORA/ww1/build/../inputs/miles1000.col; 45; 0.000111
/home/pazamelin/github/HSE/ORA/ww1/build/../inputs/queen11_11.col; 17; 3.6e-05
/home/pazamelin/github/HSE/ORA/ww1/build/../inputs/miles1500.col; 76; 0.000233
/home/pazamelin/github/HSE/ORA/ww1/build/../inputs/myciel3.col; 4; 1e-06
/home/pazamelin/github/HSE/ORA/ww1/build/../inputs/school1_nsh.col; 36; 0.000567
